--------------------------------------------------
价格峰值分析分析周期(天):10
日期	距上次峰值交易日个数		距上次峰值自然日个数		局部高点/低点	浮动幅度%:	
1991/01/14	16	26	135.19	35.2	
1991/02/06	17	23	128.06	-5.3	
1991/02/22	10	16	134.87	5.3	
1991/04/01	26	38	119.68	-11.3	
1991/04/04	3	3	122.2	2.1	
1991/05/17	30	43	104.96	-14.1	
1991/07/01	31	45	138.62	32.1	
1991/07/15	10	14	131.87	-4.9	
1991/09/10	41	57	190.98	44.8	
1991/09/13	3	3	185.01	-3.1	
1991/09/17	2	4	191.18	3.3	
1991/10/03	10	16	179.8	-6.0	
1992/04/23	141	203	394.6	119.5	
1992/05/26	22	33	1429.01	262.1	
1992/06/10	11	15	1206.51	-15.6	
1992/06/24	10	14	1144.46	-5.1	
1992/07/06	8	12	1215.24	6.2	
1992/07/16	8	10	1214.83	-0.0	
1992/07/23	5	7	961.61	-20.8	
1992/07/24	1	1	1178.9	22.6	
1992/08/12	13	19	627.36	-46.8	
1992/08/18	4	6	999.69	59.3	
1992/09/08	15	21	595.42	-40.4	
1992/09/14	4	6	793.36	33.2	
1992/10/08	16	24	640.22	-19.3	
1992/10/12	2	4	713.77	11.5	
1992/10/28	12	16	447.93	-37.2	
1992/11/17	14	20	386.85	-13.6	
1992/11/26	7	9	752.32	94.5	
1992/12/04	6	8	841.02	11.8	
1992/12/10	4	6	592.78	-29.5	
1993/01/15	25	36	1099.83	85.5	
1993/02/16	20	32	1558.95	41.7	
1993/03/05	13	17	1026.18	-34.2	
1993/03/25	14	20	913.74	-11.0	
1993/04/14	14	20	1341.19	46.8	
1993/04/19	3	5	1185.76	-11.6	
1993/04/29	8	10	1392.62	17.4	
1993/05/17	12	18	1097.61	-21.2	
1993/06/01	11	15	859.48	-21.7	
1993/06/03	2	2	1177.91	37.0	
1993/06/21	12	18	967.74	-17.8	
1993/06/30	7	9	1043.05	7.8	
1993/07/12	8	12	828.55	-20.6	
1993/07/27	11	15	777.73	-6.1	
1993/08/02	4	6	913.15	17.4	
1993/08/17	11	15	1042.47	14.2	
1993/08/24	5	7	873.13	-16.2	
1993/09/06	9	13	947.53	8.5	
1993/09/14	6	8	865.61	-8.6	
1993/09/24	8	10	915.06	5.7	
1993/09/24	0	0	864.38	-5.5	
1993/10/07	8	13	934.4	8.1	
1993/10/25	12	18	774.54	-17.1	
1993/11/26	24	32	1011.76	30.6	
1993/12/08	8	12	1044.85	3.3	
1993/12/20	8	12	750.46	-28.2	
1993/12/28	6	8	854.65	13.9	
1993/12/30	2	2	816.36	-4.5	
1994/01/11	8	12	907.09	11.1	
1994/01/20	7	9	777.83	-14.2	
1994/02/01	8	12	750.61	-3.5	
1994/02/14	4	13	818.57	9.1	
1994/02/28	10	14	795.2	-2.9	
1994/03/10	8	10	694.03	-12.7	
1994/03/17	5	7	807.52	16.4	
1994/04/21	25	35	536.34	-33.6	
1994/05/04	8	13	620.94	15.8	
1994/05/06	2	2	575.25	-7.4	
1994/05/20	10	14	597.72	3.9	
1994/05/31	7	11	537.78	-10.0	
1994/06/14	10	14	487.26	-9.4	
1994/06/20	4	6	531.11	9.0	
1994/07/07	13	17	423.03	-20.3	
1994/07/14	5	7	440.59	4.2	
1994/07/29	11	15	325.89	-26.0	
1994/08/11	9	13	768.08	135.7	
1994/08/18	5	7	772.32	0.6	
1994/09/13	18	26	1052.94	36.3	
1994/10/07	16	24	546.79	-48.1	
1994/10/25	12	18	794.85	45.4	
1994/10/31	4	6	642.86	-19.1	
1994/11/10	8	10	743.22	15.6	
1994/12/12	22	32	620.47	-16.5	
1994/12/16	4	4	693.76	11.8	
1994/12/23	5	7	695.22	0.2	
1995/02/07	26	46	524.43	-24.6	
1995/02/17	8	10	532.67	1.6	
1995/02/23	4	6	608.58	14.3	
1995/03/08	9	13	639.01	5.0	
1995/03/15	5	7	568.6	-11.0	
1995/04/10	18	26	681.15	19.8	
1995/04/21	9	11	649.22	-4.7	
1995/04/27	4	6	547.21	-15.7	
1995/05/10	8	13	564.86	3.2	
1995/05/22	8	12	926.41	64.0	
1995/05/26	4	4	672.37	-27.4	
1995/06/19	16	24	634.81	-5.6	
1995/06/27	6	8	659.78	3.9	
1995/07/04	5	7	610.33	-7.5	
1995/07/19	11	15	723.68	18.6	
1995/08/02	10	14	733.86	1.4	
1995/08/14	8	12	788.16	7.4	
1995/08/31	13	17	711.11	-9.8	
1995/09/12	8	12	792.54	11.5	
1995/09/28	12	16	699.1	-11.8	
1995/10/06	4	8	729.54	4.4	
1995/10/13	5	7	693.86	-4.9	
1995/10/25	8	12	765.48	10.3	
1995/11/01	5	7	712.27	-7.0	
1995/11/07	4	6	736.91	3.5	
1995/12/01	18	24	624.93	-15.2	
1995/12/08	5	7	643.36	2.9	
1996/01/08	20	31	527.91	-17.9	
1996/01/19	9	11	512.83	-2.9	
1996/01/25	4	6	538.96	5.1	
1996/02/06	8	12	518.18	-3.9	
1996/03/05	10	28	606.51	17.0	
1996/03/12	5	7	556.41	-8.3	
1996/03/21	7	9	574.01	3.2	
1996/03/29	6	8	549.71	-4.2	
1996/04/29	21	31	739.1	34.5	
1996/05/03	3	4	644.86	-12.8	
1996/05/20	11	17	724.97	12.4	
1996/05/24	4	4	630.52	-13.0	
1996/06/19	18	26	813.87	29.1	
1996/06/27	6	8	819.68	0.7	
1996/07/02	3	5	753.75	-8.0	
1996/07/10	6	8	825.39	9.5	
1996/07/12	2	2	778.87	-5.6	
1996/07/24	8	12	894.72	14.9	
1996/08/01	6	8	814.88	-8.9	
1996/08/12	7	11	894.85	9.8	
1996/08/27	11	15	766.7	-14.3	
1996/09/05	7	9	838.66	9.4	
1996/09/13	6	8	752.68	-10.3	
1996/10/03	11	20	891.7	18.5	
1996/10/29	18	26	1038.81	16.5	
1996/11/06	6	8	896.87	-13.7	
1996/11/19	9	13	1047.39	16.8	
1996/11/22	3	3	919.6	-12.2	
1996/12/11	13	19	1258.68	36.9	
1996/12/25	10	14	855.84	-32.0	
1996/12/30	3	5	938.54	9.7	
1997/01/07	5	8	871.78	-7.1	
1997/01/13	4	6	931.44	6.8	
1997/02/20	18	38	870.18	-6.6	
