����	����	����	��ȣ�m��	��ˮ��϶��                    (%)	��͸�ʣ�md��	���ͱ��Ͷ�(%)	���ʣ�%��	CPL���ͽ���
ɰ37	606.8 	609.8 	3.0 	21.23	145.25 	12.64 	14.72 	2	0
ɰ37	613.4 	615.3 	1.9 	19.03	201.55 	26.50 	14.26 	10	0.95
ɰ37	617.7 	618.9 	1.2 	23.62	220.17 	7.69 	17.34 	2	0
ɰ37	622.5 	626.0 	3.5 	21.47	129.91 	9.04 	20.51 	2	0
ɰ37	629.7 	631.7 	2.0 	19.36	95.59 	15.41 	36.89 	2	0
ɰ37	632.7 	635.1 	2.4 	17.79	49.74 	3.84 	26.05 	2	0
ɰ37	639.8 	641.9 	2.1 	10.94	165.90 	58.56 	7.40 	1	2.1
ɰ37	643.6 	646.0 	2.4 	16.36	197.91 	37.81 	14.39 	10	1.2
ɰ37	654.0 	660.5 	6.5 	19.23	150.25 	34.25 	10.25 	10	3.25
ɰ37	668.0 	671.2 	3.2 	14.14	124.49 	41.45 	19.56 	6	1.6
ɰ37	672.3 	673.5 	1.2 	11.96	45.43 	32.41 	29.45 	10	0.6
ɰ37	675.7 	678.1 	2.4 	17.21	68.04 	11.68 	21.02 	2	0
ɰ37	683.8 	687.7 	3.9 	11.64	79.85 	41.75 	12.25 	6	1.95
ɰ37	688.7 	692.2 	3.5 	13.97	147.95 	39.88 	13.96 	6	1.75
ɰ37	693.7 	697.5 	3.8 	11.42	54.32 	44.00 	15.02 	10	1.9
ɰ37	698.9 	701.6 	2.7 	10.11	54.95 	48.43 	28.57 	4	0
ɰ37	711.7 	716.2 	4.5 	10.63	54.12 	43.19 	11.53 	7	0
ɰ37	719.3 	720.8 	1.5 	7.88	1.33 	0.57 	29.12 	4	0
ɰ37	724.1 	726.1 	2.0 	7.24	2.61 	22.25 	34.67 	4	0
ɰ37	733.8 	735.3 	1.5 	13.99	77.51 	31.52 	34.23 	11	0.75
ɰ37	736.2 	738.0 	1.8 	12.48	112.56 	57.30 	12.86 	1	1.8
ɰ37	742.8 	745.2 	2.4 	13.31	200.42 	54.86 	14.94 	1	2.4
ɰ37	748.9 	750.7 	1.8 	13.97	129.89 	40.34 	21.23 	5	0.9
ɰ37	752.7 	754.8 	2.1 	13.2	186.96 	58.62 	14.70 	1	2.1
ɰ37	757.9 	760.3 	2.4 	21.99	260.17 	17.49 	18.74 	2	0
ɰ37	761.0 	762.4 	1.4 	16.36	163.16 	41.16 	20.80 	6	0.7
ɰ37	763.1 	765.6 	2.5 	23.05	194.29 	16.08 	8.20 	2	0
ɰ37	767.1 	770.0 	2.9 	11.48	188.62 	59.74 	15.55 	5	1.45
ɰ37	771.7 	774.9 	3.2 	11.6	304.69 	59.18 	11.98 	1	3.2
ɰ37	776.8 	778.9 	2.1 	13.66	110.68 	46.85 	26.07 	1	2.1
ɰ37	780.2 	782.7 	2.5 	9.94	253.24 	70.04 	20.23 	1	2.5
ɰ37	784.0 	785.3 	1.3 	10.9	177.21 	60.79 	21.47 	1	1.3
ɰ37	787.4 	789.4 	2.0 	13.32	83.89 	35.22 	36.18 	11	1.0
ɰ37	793.1 	794.6 	1.5 	9.71	225.76 	67.77 	23.81 	1	1.5
ɰ37	795.6 	796.8 	1.2 	12.44	103.91 	48.60 	45.51 	1	1.2
ɰ37	797.8 	801.4 	3.6 	11.84	101.45 	50.31 	21.16 	11	1.8
ɰ37	802.2 	803.7 	1.5 	11.74	74.50 	40.37 	38.05 	11	0.75
ɰ37	808.0 	809.7 	1.7 	9.95	127.77 	64.02 	27.60 	1	1.7
ɰ37	813.5 	816.0 	2.5 	8.85	317.12 	70.68 	11.00 	1	2.5
ɰ37	817.0 	818.2 	1.2 	8.43	182.86 	68.58 	26.23 	1	1.2
ɰ37	819.2 	821.2 	2.0 	10.18	217.45 	65.88 	18.28 	1	2.0
ɰ37	821.9 	823.0 	1.1 	11.33	88.77 	49.78 	30.50 	1	1.1
ɰ37	824.3 	825.6 	1.3 	12.61	205.87 	54.28 	25.77 	1	1.3
ɰ37	826.8 	828.7 	1.9 	16.93	209.23 	37.99 	19.29 	2	0
ɰ37	830.6 	833.3 	2.7 	11.88	154.24 	54.35 	22.40 	1	2.7
ɰ37	837.8 	840.0 	2.2 	11.58	65.25 	57.70 	26.21 	5	1.1
ɰ37	841.8 	843.3 	1.5 	11.19	66.26 	46.99 	44.43 	1	1.5
ɰ37	848.2 	849.9 	1.7 	8.9	81.47 	64.45 	17.16 	5	0.85
ɰ37	851.0 	852.2 	1.2 	8.84	157.10 	69.75 	26.37 	1	1.2
ɰ37	854.7 	856.7 	2.0 	10.12	50.38 	49.74 	22.65 	5	1.0
ɰ37	857.8 	859.8 	2.0 	10.11	152.28 	63.00 	43.04 	1	2.0
ɰ37	860.5 	863.2 	2.7 	12.46	97.18 	48.08 	18.07 	1	2.7
ɰ37	867.8 	869.1 	1.3 	8.38	179.05 	72.10 	39.72 	5	0.65
ɰ37	870.0 	872.8 	2.8 	8.73	113.37 	73.15 	22.59 	5	1.4
ɰ37	873.5 	875.2 	1.7 	9.49	113.52 	70.40 	9.74 	1	1.7
ɰ37	877.9 	879.5 	1.6 	13.11	124.49 	51.32 	21.50 	1	1.6
ɰ37	880.3 	881.2 	0.9 	5.92	0.38 	0.00 	27.58 	4	0
ɰ37	881.7 	882.6 	0.9 	9.56	208.56 	69.53 	18.02 	1	0.9
ɰ37	883.9 	885.5 	1.6 	11.7	94.13 	47.54 	36.98 	11	0.8
ɰ37	886.3 	888.8 	2.5 	9.06	216.58 	68.12 	26.07 	1	2.5
ɰ37	890.2 	893.3 	3.1 	12.14	38.59 	41.33 	23.51 	11	1.55
ɰ37	894.4 	896.0 	1.6 	5.38	0.32 	5.32 	27.96 	4	0
ɰ37	900.3 	901.9 	1.6 	4.83	0.25 	17.95 	46.27 	4	0
ɰ37	903.0 	904.3 	1.3 	10	40.50 	43.34 	75.91 	1	1.3
ɰ37	905.3 	907.5 	2.2 	11.62	149.87 	69.76 	28.10 	5	1.1
ɰ37	912.2 	914.1 	1.9 	11.41	81.92 	48.47 	21.37 	1	1.9
ɰ37	915.0 	919.2 	4.2 	11.93	270.40 	73.57 	10.55 	1	4.2
ɰ37	920.4 	921.5 	1.1 	11.88	105.55 	49.84 	27.07 	1	1.1
ɰ37	923.2 	927.0 	3.8 	13.63	147.77 	57.51 	15.01 	1	3.8
ɰ37	927.8 	929.6 	1.8 	14.79	150.76 	43.54 	32.64 	1	1.8
ɰ37	932.1 	933.2 	1.1 	13.3	63.29 	31.49 	34.89 	1	1.1
ɰ37	934.4 	938.7 	4.3 	13.64	142.35 	59.78 	18.31 	1	4.3
ɰ37	941.6 	943.3 	1.7 	10.12	155.93 	68.25 	24.98 	1	1.7
ɰ37	946.0 	949.0 	3.0 	11.62	91.98 	54.09 	21.34 	1	3.0
ɰ37	950.9 	952.1 	1.2 	12.68	127.79 	54.52 	18.45 	1	1.2
ɰ37	952.8 	954.0 	1.2 	12.43	99.16 	54.81 	13.94 	1	1.2
ɰ37	954.6 	955.8 	1.2 	12.6	150.45 	49.71 	13.75 	1	1.2
ɰ37	956.5 	958.8 	2.3 	17.61	115.89 	35.94 	5.92 	6	1.15
ɰ37	960.0 	962.6 	2.6 	22.9	177.39 	8.84 	14.28 	2	0
ɰ37	963.6 	965.0 	1.4 	11.36	11.52 	15.50 	27.44 	2	0
ɰ37	966.0 	967.1 	1.1 	15.91	77.94 	20.89 	19.14 	2	0
ɰ37	970.4 	972.1 	1.7 	10.8	50.84 	42.88 	41.50 	6	0.85
ɰ37	973.2 	974.4 	1.2 	10.54	32.50 	36.73 	30.55 	6	0.6
ɰ37	975.0 	977.2 	2.2 	22.72	207.67 	9.53 	11.37 	2	0
ɰ37	980.7 	983.4 	2.7 	18.79	65.50 	3.98 	40.67 	2	0
ɰ37	985.5 	987.3 	1.8 	9.85	159.36 	58.03 	32.25 	1	1.8
ɰ37	988.4 	989.8 	1.4 	11.29	111.38 	49.29 	25.87 	1	1.4
ɰ37	991.4 	995.1 	3.7 	22.06	181.43 	18.05 	15.92 	2	0
ɰ37	996.8 	1001.0 	4.2 	12.87	74.82 	38.70 	33.63 	6	2.1
ɰ37	1003.3 	1007.2 	3.9 	11.12	48.99 	45.89 	37.21 	11	1.95
ɰ37	1009.5 	1011.6 	2.1 	10.46	196.57 	61.22 	18.14 	1	2.1
ɰ37	1018.4 	1020.8 	2.4 	11.66	48.31 	40.13 	43.46 	11	1.2
ɰ37	1024.4 	1026.4 	2.0 	10.98	106.69 	57.87 	22.91 	1	2.0
ɰ37	1027.3 	1028.7 	1.4 	9.72	138.51 	57.95 	18.51 	1	1.4
ɰ37	1030.4 	1032.6 	2.2 	10.84	96.99 	57.16 	23.40 	1	2.2
ɰ37	1033.8 	1035.5 	1.7 	10.49	100.91 	56.82 	18.63 	1	1.7
ɰ37	1036.5 	1039.6 	3.1 	14.55	140.76 	41.96 	24.00 	6	1.55
ɰ37	1043.0 	1044.1 	1.1 	15.06	122.57 	40.45 	17.72 	6	0.55
ɰ37	1045.7 	1047.7 	2.0 	12.49	63.45 	35.71 	35.04 	10	1.0
ɰ37	1050.6 	1052.5 	1.9 	11.18	68.42 	42.04 	40.31 	11	0.95
ɰ37	1053.7 	1054.5 	0.8 	8.62	20.13 	43.36 	62.51 	11	0.4
ɰ37	1059.2 	1066.0 	6.8 	9.67	90.68 	64.88 	16.07 	1	6.8
ɰ37	1074.2 	1076.0 	1.8 	10.23	30.87 	39.65 	23.87 	6	0.9
ɰ37	1078.2 	1079.7 	1.5 	13.54	69.09 	30.20 	27.83 	10	0.75
ɰ37	1083.1 	1086.3 	3.2 	9.29	99.33 	64.81 	26.30 	1	3.2
ɰ37	1090.7 	1093.2 	2.5 	11.58	56.15 	45.93 	34.56 	1	2.5
ɰ37	1094.3 	1101.4 	7.1 	9.26	380.62 	78.99 	18.83 	1	7.1
ɰ37	1101.9 	1102.7 	0.8 	9.01	30.56 	49.04 	49.51 	11	0.4
ɰ37	1106.7 	1109.0 	2.3 	9.04	22.01 	40.94 	16.01 	1	2.3
ɰ37	1111.8 	1114.2 	2.4 	10.01	111.52 	58.53 	40.23 	1	2.4
ɰ37	1118.7 	1121.3 	2.6 	9.53	22.92 	37.99 	28.50 	4	0
ɰ37	1122.8 	1125.3 	2.5 	8.84	145.68 	66.41 	26.73 	1	2.5
ɰ37	1126.1 	1127.6 	1.5 	8.49	55.37 	61.34 	19.74 	1	1.5
ɰ37	1128.3 	1131.6 	3.3 	8.68	45.45 	53.20 	28.13 	11	1.65
ɰ37	1134.6 	1137.0 	2.4 	9.71	105.59 	63.54 	32.67 	1	2.4
ɰ37	1140.0 	1141.2 	1.2 	7.61	14.51 	44.67 	37.07 	11	0.6
ɰ37	1142.3 	1144.3 	2.0 	9.98	120.04 	61.18 	22.60 	1	2.0
ɰ37	1145.4 	1146.6 	1.2 	11.48	80.52 	44.83 	30.19 	11	0.6
ɰ37	1148.0 	1151.7 	3.7 	9.27	8.30 	32.83 	24.79 	4	0
ɰ37	1154.3 	1156.0 	1.7 	9.36	64.74 	56.11 	33.13 	1	1.7
ɰ37	1157.1 	1160.5 	3.4 	11.49	97.57 	56.74 	37.21 	1	3.4
ɰ37	1161.4 	1162.6 	1.2 	9.24	4.11 	18.42 	44.93 	11	0.6
ɰ37	1164.2 	1165.6 	1.4 	9.18	90.10 	61.92 	25.37 	1	1.4
ɰ37	1167.4 	1168.6 	1.2 	9.46	9.76 	37.31 	29.27 	1	1.2
ɰ37	1169.5 	1170.9 	1.4 	8.75	91.17 	63.33 	28.64 	1	1.4
ɰ37	1173.5 	1176.5 	3.0 	10.55	18.32 	32.44 	33.85 	1	3.0
ɰ37	1180.8 	1183.4 	2.6 	9.42	169.90 	60.29 	23.54 	1	2.6
ɰ37	1186.1 	1188.5 	2.4 	8.38	145.49 	72.27 	22.31 	1	2.4
ɰ37	1191.0 	1193.3 	2.3 	9.42	38.65 	45.58 	22.80 	11	1.15
ɰ37	1194.8 	1197.3 	2.5 	7.9	41.63 	57.84 	33.79 	1	2.5
ɰ37	1205.2 	1206.7 	1.5 	7.39	24.13 	54.56 	30.38 	1	1.5
ɰ37	1210.4 	1212.3 	1.9 	9.11	61.64 	55.93 	30.54 	11	0.95
ɰ37	1213.4 	1214.8 	1.4 	8.35	44.80 	53.43 	27.11 	11	0.7
ɰ37	1220.1 	1224.5 	4.4 	7.97	93.27 	63.27 	30.90 	1	4.4
ɰ37	1225.6 	1227.2 	1.6 	8.51	60.33 	56.24 	35.50 	1	1.6
ɰ37	1234.0 	1236.1 	2.1 	9.68	24.42 	39.39 	50.30 	11	1.05
ɰ40	306.5 	309.7 	3.2 	28.38	373.74	31.25	22.96	2	0
ɰ40	313.9 	316.6 	2.7 	28.45	377.72	7.66	22.96	2	0
ɰ40	322.7 	323.8 	1.1 	29.4	436.39	38.73	40.43	4	0
ɰ40	325.8 	327.6 	1.8 	30.47	510.83	32.95	25.33	2	0
ɰ40	329.0 	331.2 	2.2 	27.71	336.22	13.59	27.86	2	0
ɰ40	332.6 	340.4 	7.8 	30.05	480.59	5.84	21.27	2	0
ɰ40	343.9 	347.5 	3.6 	23.77	171.36	0	39.64	2	0
ɰ40	364.6 	366.8 	2.2 	31.98	632.12	13.81	22.58	2	0
ɰ40	372.3 	374.2 	1.9 	27.02	301.12	40.86	33.48	7	0
ɰ40	380.8 	382.4 	1.6 	28.76	396.47	18.71	32.15	2	0
ɰ40	385.8 	387.4 	1.6 	31.82	618.31	21.61	37.13	2	0
ɰ40	388.5 	390.4 	1.9 	29.19	422.77	20.52	20.56	2	0
ɰ40	391.2 	392.7 	1.5 	28.97	409.14	14.59	25	2	0
ɰ40	393.5 	397.4 	3.9 	24.24	186.8	15.54	18.96	2	0
ɰ40	401.9 	403.8 	1.9 	25.62	238.07	9.15	23.35	2	0
ɰ40	412.3 	414.2 	1.9 	24.78	205.9	34.42	33.06	2	0
ɰ40	415.2 	417.1 	1.9 	28.65	389.74	21.74	19.05	2	0
ɰ40	429.4 	433.2 	3.8 	28.67	390.84	19.9	23.6	2	0
ɰ40	469.9 	471.8 	1.9 	27.81	341.82	31.76	25.02	2	0
ɰ40	483.7 	484.9 	1.2 	26.99	299.79	41.39	31.52	6	0.6
ɰ40	488.7 	491.6 	2.9 	26.6	280.87	15.83	31.13	2	0
ɰ40	492.7 	495.2 	2.5 	25.17	220.39	19.78	21.03	2	0
ɰ40	497.8 	500.0 	2.2 	26.82	291.41	3.43	37.07	2	0
ɰ40	506.6 	509.1 	2.5 	27.35	317.38	7.35	25.02	2	0
ɰ40	512.5 	513.6 	1.1 	22.66	138.77	20.17	39.42	4	0
ɰ40	517.6 	520.0 	2.4 	28.33	370.92	0	21.09	2	0
ɰ40	522.4 	524.2 	1.8 	28.36	372.77	17.88	30.5	2	0
ɰ40	526.3 	531.1 	4.8 	30.35	502.35	26.64	20.11	2	0
ɰ40	534.7 	539.3 	4.6 	25.7	241.59	12.26	21.89	2	0
ɰ40	542.7 	543.9 	1.2 	27.48	324.16	8.5	40.57	2	0
ɰ40	546.5 	549.6 	3.1 	27.67	334.08	21.05	44.09	2	0
ɰ40	550.6 	552.1 	1.5 	25.23	222.53	9.63	35.69	2	0
ɰ40	553.6 	556.3 	2.7 	28.03	353.86	25.27	29.95	2	0
ɰ40	557.1 	558.8 	1.7 	25.06	216.08	5.69	38.05	2	0
ɰ40	560.3 	564.3 	4.0 	29.86	467.16	25.94	17.76	2	0
ɰ40	567.9 	570.2 	2.3 	31.55	595.8	44.89	28.97	6	1.15
ɰ40	572.7 	573.6 	0.9 	25.46	231.76	25.63	31.44	4	0
ɰ40	574.4 	577.6 	3.2 	29.53	445.43	12.93	17.82	2	0
ɰ40	578.8 	581.2 	2.4 	26.42	272.58	11.07	35.31	2	0
ɰ40	582.1 	583.5 	1.4 	25.51	233.7	56.17	34.25	3	0
ɰ40	584.5 	588.0 	3.5 	25.06	216	35.13	16.94	2	0
ɰ40	592.5 	594.2 	1.7 	23.04	149.34	27.69	36.03	2	0
ɰ40	595.1 	601.4 	6.3 	25.73	242.75	23.85	17.26	2	0
ɰ40	602.4 	606.8 	4.4 	27.28	313.87	30.25	17.25	10	2.2
ɰ40	614.6 	616.1 	1.5 	28.94	407.54	52.94	17.8	6	0.75
ɰ40	618.7 	620.7 	2.0 	25.39	229.03	18.35	20.04	2	0
ɰ40	622.7 	626.3 	3.6 	27.13	306.76	18.99	23.25	2	0
ɰ40	628.0 	629.6 	1.6 	25.64	239.22	26.84	45.27	2	0
ɰ40	630.2 	631.5 	1.3 	25.58	236.65	33.33	46.6	2	0
ɰ40	632.3 	633.6 	1.3 	26.36	269.98	36.12	45.09	2	0
ɰ40	634.6 	636.0 	1.4 	25.77	244.32	27.64	29.46	2	0
ɰ40	639.1 	640.8 	1.7 	23.73	170.22	42.47	27.76	6	0.85
ɰ40	641.4 	642.8 	1.4 	26.82	291.26	25.1	20.29	2	0
ɰ40	647.4 	650.2 	2.8 	29.02	412.22	20.24	22.19	2	0
ɰ40	652.1 	654.1 	2.0 	26.15	260.71	14.31	23.17	2	0
ɰ40	662.1 	663.9 	1.8 	23.56	164.9	40.42	26.31	6	0.9
ɰ40	666.4 	669.2 	2.8 	27.63	332.27	32.86	21.44	2	0
ɰ40	684.8 	689.0 	4.2 	26.78	289.71	20.67	26.86	2	0
ɰ40	690.3 	692.2 	1.9 	24.71	203.38	23.55	27.1	2	0
ɰ40	696.3 	698.1 	1.8 	20.91	97.41	24.89	48.44	4	0
ɰ40	698.9 	705.7 	6.8 	26.76	288.33	30.21	26.06	2	0
ɰ40	706.5 	708.5 	2.0 	22.26	128.28	29.76	51.08	2	0
ɰ40	709.4 	710.5 	1.1 	29.88	468.96	24.8	33.56	2	0
ɰ40	711.5 	713.8 	2.3 	25.72	242.39	32.58	35.47	2	0
ɰ40	717.1 	718.2 	1.1 	25.03	215.05	32.46	36.93	10	0.55
ɰ40	721.7 	724.1 	2.4 	26.07	257.39	31.32	29.92	11	1.2
ɰ40	727.8 	729.9 	2.1 	22.74	141.04	30.32	37	2	0
ɰ40	731.1 	734.1 	3.0 	25.3	225.43	33.55	34.9	2	0
ɰ40	735.7 	737.7 	2.0 	24.62	200	23.91	39.78	2	0
ɰ40	738.7 	743.7 	5.0 	25.62	238.29	18.46	27.8	2	0
ɰ40	746.5 	749.0 	2.5 	22.14	125.35	25.62	43.99	2	0
ɰ40	755.7 	758.9 	3.2 	26.59	280.47	23.46	30.1	2	0
ɰ40	760.2 	763.8 	3.6 	26.44	273.85	26.87	31.27	2	0
ɰ40	768.6 	775.8 	7.2 	24.51	196.04	11.41	44.17	2	0
ɰ40	777.1 	779.0 	1.9 	22.12	124.72	4.43	43.38	2	0
ɰ40	790.6 	792.8 	2.2 	28.07	356.05	65.18	50.9	1	2.2
ɰ40	795.5 	800.0 	4.5 	25.95	252.19	35.95	31.36	10	2.25
ɰ40	801.8 	804.4 	2.6 	25.62	238.13	35.99	38.21	10	1.3
ɰ40	805.4 	806.6 	1.2 	23.86	174.11	37.25	35.06	10	0.6
ɰ40	807.4 	809.4 	2.0 	23.49	162.5	29.15	48.41	2	0
ɰ40	810.6 	816.0 	5.4 	27.17	308.32	21.42	30.86	2	0
ɰ40	816.8 	818.3 	1.5 	26.71	286.01	13.42	42.52	2	0
ɰ40	822.0 	823.9 	1.9 	27.5	325.29	3.93	29.69	2	0
ɰ40	830.1 	834.8 	4.7 	23.84	173.48	43.51	39.32	6	2.35
ɰ40	836.0 	838.8 	2.8 	25.29	224.9	42.29	30.74	6	1.4
ɰ40	842.1 	846.0 	3.9 	25.16	220.04	29.95	27.7	2	0
ɰ40	847.6 	850.2 	2.6 	26.35	269.81	29.35	30.32	2	0
ɰ40	859.1 	860.3 	1.2 	22.02	122.48	51.73	42.88	3	0
ɰ40	861.4 	865.3 	3.9 	23.07	150.21	39.61	33.22	7	0
ɰ40	867.8 	873.5 	5.7 	26.82	291.49	30.07	29.94	2	0
ɰ40	879.6 	881.8 	2.2 	22.82	143.16	29.54	70.2	2	0
ɰ40	883.2 	888.4 	5.2 	22.58	136.7	30.42	27.06	2	0
ɰ40	890.3 	892.7 	2.4 	23.75	170.59	37.81	25.27	11	1.2
ɰ40	894.4 	897.7 	3.3 	24.92	211.03	34.69	24.69	11	1.65
ɰ40	902.7 	905.9 	3.2 	24.41	192.5	30.16	23.44	2	0
ɰ40	911.1 	912.7 	1.6 	24.22	186.06	63.88	31.34	3	0
ɰ40	914.2 	915.3 	1.1 	17.06	39.8	63.18	25.79	3	0
ɰ40	916.9 	918.3 	1.4 	21.97	121.15	59.16	25.97	3	0
ɰ40	919.2 	920.4 	1.2 	20.28	85.26	41.81	34.18	7	0
ɰ40	922.4 	924.0 	1.6 	21.86	118.61	42.71	27.15	6	0.8
ɰ40	925.1 	926.4 	1.3 	18.41	55.69	42.27	26.01	6	0.65
ɰ40	938.3 	939.6 	1.3 	22.9	145.32	30.73	29.97	2	0
ɰ40	943.5 	945.4 	1.9 	22.12	124.77	48.75	45.19	6	0.95
ɰ40	948.9 	949.9 	1.0 	19.3	68.53	58.52	28.5	1	1.0
ɰ40	952.2 	954.3 	2.1 	23.31	157.22	44.86	33.01	6	1.05
ɰ40	956.2 	957.6 	1.4 	19.83	77.26	21.74	34.23	2	0
ɰ40	962.0 	964.0 	2.0 	17.39	43.3	55.59	35.7	1	2.0
ɰ40	965.9 	967.8 	1.9 	21.24	104.33	43.41	31.2	6	0.95
ɰ40	977.0 	980.3 	3.3 	18.59	58.08	55.59	35.61	1	3.3
ɰ40	990.8 	995.6 	4.8 	21.56	111.45	42.37	24.94	6	2.4
ɰ40	1000.8 	1002.7 	1.9 	20.8	95.23	46.07	30.37	6	0.95
ɰ40	1008.5 	1010.4 	1.9 	15.61	26.89	44.23	54.18	6	0.95
ɰ40	1021.4 	1023.8 	2.4 	19.64	74	54.35	41.08	1	2.4
ɰ40	1026.4 	1034.7 	8.3 	18.95	63.16	55.66	28.7	1	8.3
ɰ40	1047.4 	1049.0 	1.6 	22.99	148.01	57.44	42.89	1	1.6
ɰ40	1050.2 	1051.9 	1.7 	22.34	130.52	60.8	32.53	1	1.7
ɰ40	1054.2 	1055.7 	1.5 	21.88	118.98	56.45	27.38	1	1.5
ɰ40	1057.4 	1059.2 	1.8 	22.91	145.78	53.5	40.44	1	1.8
