日期    	星期	开盘涨�?收盘涨幅	T+1涨幅	T+2涨幅	距离上次交易日间隔天�?区间涨幅		
1990/12/19	3	-999	-999	4.41	4.54	0	0
1992/4/22	3	-2.42	-2.48	1.84	1.76	340	299.96
1992/4/30	4	-1.9	0.27	1.85	-0.97	6	11.38
1992/5/5	2	-1.37	-0.97	0.17	1.04	2	0.86
1992/5/26	2	-6.27	-8.46	-8.31	-2.77	15	189.7
1992/6/1	1	-4.78	-4.17	-3.57	-7.18	4	-9.08
1992/6/8	1	-1.24	-1.11	3.03	5.36	5	-7.59
1992/7/8	3	-1.17	-1.74	-0.59	0.86	22	8.42
1992/7/28	2	-1.95	-3.77	-1.7	-2.73	14	-6.71
1992/8/10	1	-1.24	-4.09	-10.44	-9.52	9	-12.83
1992/8/19	3	-1.37	0.65	-0.77	-1.72	7	-2.55
1992/9/2	3	-2.56	-4.52	-2.99	-1.38	10	-16.16
1992/9/14	1	-1.74	-5.32	0.43	4.18	8	-6.69
1992/9/18	5	-6.02	-0.96	-2.78	-1.46	4	2.64
1992/10/8	4	-2.45	-3.24	2.58	4.59	12	-14.68
1992/10/14	3	-1.92	-1.52	-0.03	0.18	4	3.12
1992/10/19	1	-3.15	-4.87	-2.55	-4.96	3	-4.72
1992/10/21	3	-3.11	-4.96	-7.84	3.69	2	-7.38
1992/11/2	1	-7.11	-5.84	0.46	-2.07	8	-18.45
1992/11/4	3	-1.04	-2.07	-1.55	-1.21	2	-1.61
1992/11/16	1	-2.91	-3.57	-1.45	3.58	8	-15.02
1992/11/20	5	-1.02	0.62	2.23	7.22	4	0.53
1992/12/7	1	-5.1	-1.71	-4.96	-10.28	11	97.6
1992/12/9	3	-2.12	-10.28	-7.57	15.52	2	-14.72
1993/2/12	5	-1.37	4.39	5.35	-1.52	44	115.65
1993/3/5	5	-3.69	-4.28	9.02	-5.94	15	-23.94
1993/3/9	2	-4.09	-5.94	4.5	6.13	2	2.55
1993/3/22	1	-2.27	-11.75	-6.33	-1.47	9	-8.87
1993/3/29	1	-3.02	-6.67	-1.28	-3.35	5	-6.41
1993/7/12	1	-1.5	-2.65	2.9	-3.87	75	-12.87
1993/8/23	1	-1.35	-5.63	0.14	1.9	30	5.64
1993/9/10	5	-1.53	0.21	-2.69	-0.3	14	1.16
1993/9/24	5	-1.23	-0.93	0.59	1.95	10	-3.07
1993/11/1	1	-1.59	0.23	-0.49	-0.86	25	-6.75
1993/12/17	5	-2.6	-0.7	-13.08	7.21	34	10.41
1994/1/20	4	-2.04	-0.61	1.28	3.24	24	-10.99
1994/3/21	1	-1.22	-4.39	1.05	-1.91	37	-8.84
1994/3/28	1	-2.31	-2.34	0.67	-0.08	5	-4.02
1994/4/11	1	-1.47	-2.92	1	-1.33	10	-6.15
1994/5/5	4	-1.81	-4.63	-0.86	-0.7	17	-10.35
1994/7/4	1	-2.65	-4.32	1.15	-2.68	42	-25.77
1994/8/12	5	-1.92	0.05	-3.45	4.07	29	57.25
1994/8/22	1	-4.73	-4.49	4.81	-1.25	6	-1.14
1994/9/7	3	-2.75	-7.3	4.43	-1.06	12	36.63
1994/9/19	1	-3.55	-5.25	-1.43	5.98	8	-0.42
1994/9/23	5	-1.06	-5.53	1.49	-1.19	4	-6.46
1994/9/30	5	-3.28	-5.74	-10.71	-6.5	5	-8.82
